article_id,periodical,periodical_label,title,issue_id,year,language,article_type,review_text_chars,review_strategy,n_trigger_windows,retrieval_hint_codes,packet_id,packet_article_position,no_relevant_discourse,insufficient_context,n_codes,n_possible,code_families_emitted,codes_emitted,legitimation_effect_present,polarity,basis_tags,n_basis_tags,derived_target,exclusion_boundary_present,right_to_define_present,annotation_notes,annotation_notes_words,source_result_file
1979-09-3-right-editorial,candil,Candil,Editorial,1979-09,1979,es,editorial,2465,full,0,,chat_packet_001,1,False,False,3,2,AUTH|COMM,AUTH_02|AUTH_04|COMM_04,True,mixed,authenticity|community,2,cante jondo rooted in Andalusian people versus officialized folklore,True,True,,0,chat_packet_001_results.json
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,De los Cafés-Cantantes al festival flamenco,1979-09,1979,es,article,3625,head_tail_windows,1,PED_02,chat_packet_001,2,False,False,3,2,AUTH|COMM,AUTH_04|COMM_02|COMM_03,True,mixed,authenticity|community,2,intimate peña-based cante versus café/festival spectacle,True,False,,0,chat_packet_001_results.json
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,Para una sociología de las Tarantas y los cafés de cante de Linares,1979-09,1979,es,article,2830,head_tail_windows,1,CRIT_03,chat_packet_001,3,False,False,2,2,COMM|CRIT,COMM_04|CRIT_01,True,mixed,criticism|community,2,historical cante and letras in relation to class and labor conditions,False,False,"The article is truncated, but the visible excerpt contains enough evaluative and identity-framing discourse to code conservatively.",18,chat_packet_001_results.json
1979-09-7-right-la-taranta,candil,Candil,La Taranta,1979-09,1979,es,article,496,full,0,,chat_packet_001,4,True,False,0,2,,,False,neutral,,0,,False,False,"Poetic evocation without a clear evaluative, authorizing, pedagogical, communal, heritage, or critical discourse function.",14,chat_packet_001_results.json
1979-09-8-right-alusiones-gitanas-en-la-literatu,candil,Candil,Alusiones gitanas en la literatura española,1979-09,1979,es,article,3643,head_tail_windows,1,COMM_04,chat_packet_001,5,True,False,0,2,,,False,neutral,,0,,False,False,"The visible excerpt discusses literary allusions and stereotypes about gitanos; without inferring from metadata, it does not clearly code as flamenco discourse.",22,chat_packet_001_results.json
1979-09-12-right-haciendo-memoria-antonio-mairena,candil,Candil,"Haciendo memoria. Antonio Mairena, 50 años de vida profesional",1979-09,1979,es,article,1698,full,0,,chat_packet_002,1,False,False,2,0,CRIT,CRIT_01|CRIT_03,True,legitimating,criticism,1,Antonio Mairena,False,False,Conservative coding: praise and ranking are clear; pedagogical authority is not explicit in the visible excerpt.,16,chat_packet_002_results.json
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,Quienes fueron los maestros,1979-09,1979,es,article,3845,full,0,,chat_packet_002,2,False,False,3,0,AUTH|CRIT|PED,AUTH_03|CRIT_03|PED_02,True,legitimating,criticism|pedagogy|tradition,3,historic flamenco masters and transmitted repertoire,False,True,The article is explicitly canon-forming and lineage-oriented.,9,chat_packet_002_results.json
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,Notanda sobre el VIII Certamen de la Guitarra en Jerez,1979-09,1979,es,article,2239,full,0,,chat_packet_002,3,False,False,3,0,COMM|CRIT,COMM_02|CRIT_01|CRIT_04,True,mixed,criticism|community,2,"contest jury, organizing peña, and disruptive critics",True,True,The text legitimates expert adjudication and delegitimates disorderly minority opposition.,10,chat_packet_002_results.json
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,Apuntes flamencos a la Feria de San Lucas,1979-09,1979,es,article,4355,full,0,,chat_packet_002,4,False,False,3,0,AUTH|CRIT,AUTH_01|CRIT_01|CRIT_02,True,mixed,criticism|authenticity,2,"Feria de San Lucas performers, especially Rafael Romero and Antonio Núñez El Chocolate",False,True,The review mixes praise and criticism; authenticity language is strongest around Rafael Romero and El Chocolate.,16,chat_packet_002_results.json
1979-11-3-right-editorial,candil,Candil,Editorial,1979-11,1979,es,editorial,2061,full,0,,chat_packet_002,5,False,False,3,0,AUTH|COMM,AUTH_01|AUTH_03|COMM_04,True,legitimating,authenticity|tradition|community,3,flamenco as an expression of Andalusian cultural identity,True,True,Strong editorial discourse: flamenco is defined as inseparable from Andalusian historical-cultural identity.,13,chat_packet_002_results.json
