article_id,periodical,periodical_label,issue_id,year,basis,polarity
1979-09-3-right-editorial,candil,Candil,1979-09,1979,authenticity,mixed
1979-09-3-right-editorial,candil,Candil,1979-09,1979,community,mixed
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,authenticity,mixed
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,community,mixed
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,criticism,mixed
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,community,mixed
1979-09-12-right-haciendo-memoria-antonio-mairena,candil,Candil,1979-09,1979,criticism,legitimating
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,criticism,legitimating
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,pedagogy,legitimating
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,tradition,legitimating
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,1979-09,1979,criticism,mixed
1979-09-14-right-notanda-sobre-el-viii-certamen-d,candil,Candil,1979-09,1979,community,mixed
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,1979-09,1979,criticism,mixed
1979-09-15-right-apuntes-flamencos-a-la-feria-de-,candil,Candil,1979-09,1979,authenticity,mixed
1979-11-3-right-editorial,candil,Candil,1979-11,1979,authenticity,legitimating
1979-11-3-right-editorial,candil,Candil,1979-11,1979,tradition,legitimating
1979-11-3-right-editorial,candil,Candil,1979-11,1979,community,legitimating
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,community,mixed
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,authenticity,mixed
1979-11-4-right-el-cante-jondo-en-la-recuperacio,candil,Candil,1979-11,1979,heritage,mixed
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,criticism,legitimating
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,pedagogy,legitimating
1979-11-6-right-la-inmensa-memoria-flamenca-de-f,candil,Candil,1979-11,1979,authenticity,legitimating
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,pedagogy,mixed
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,community,mixed
1979-11-8-right-cantar-y-pensar,candil,Candil,1979-11,1979,tradition,mixed
1979-11-11-right-elegia-para-el-descomp-s-y-otros,candil,Candil,1979-11,1979,authenticity,delegitimating
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,criticism,mixed
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,authenticity,mixed
1979-11-12-right-unas-viejas-habaneras-sevillanas,candil,Candil,1979-11,1979,heritage,mixed
1979-11-13-right-canalejas-de-puerto-real,candil,Candil,1979-11,1979,criticism,legitimating
