article_id,periodical,periodical_label,issue_id,year,language,article_type,review_strategy,family,code,confidence,evidence_quote,evidence_quote_words,target,target_words,rationale,rationale_words
1979-09-3-right-editorial,candil,Candil,1979-09,1979,es,editorial,full,AUTH,AUTH_04,high,el cante jondo se le expropia al pueblo andaluz y queda trivializado como folklore oficial del estado,17,cante jondo as official state folklore,6,Commercial/public diffusion and official folklorization are framed as removing cante jondo from its Andalusian social base and weakening its authenticity.,21
1979-09-3-right-editorial,candil,Candil,1979-09,1979,es,editorial,full,AUTH,AUTH_02,high,"al difuminarse, como folklore oficial del estado, el cante tiene que ensanchar sus contenidos... En definitiva, falsearse",17,expanded officialized cante,3,"The passage draws a boundary between legitimate cante and a diluted, falsified form produced by official folklorization.",17
1979-09-3-right-editorial,candil,Candil,1979-09,1979,es,editorial,full,COMM,COMM_04,high,"mientras fue expresión de la etnia andaluza, mantuvo su riqueza de comunicación, su profundidad, su belleza intrínseca",17,cante as expression of the Andalusian people,7,The text grounds cante's value in Andalusian collective identity and contrasts that identity with state appropriation.,17
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,es,article,head_tail_windows,AUTH,AUTH_04,high,"Los cafés-cantantes plantean el flamenco como espectáculo, como oficio... cante sometido a la mecánica de puntuales realizaciones, sin inspiración",20,cafés cantantes and staged flamenco,5,"The text treats spectacularization, professional scheduling, and public performance as forces that damage the inspiration and authenticity of cante.",19
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,es,article,head_tail_windows,COMM,COMM_03,high,"cante que ha de ser dicho, por primera vez, para otros, antes que para uno mismo",16,cante performed for spectators rather than oneself,7,The passage contrasts private/self-directed cante with public/spectatorial cante and makes that setting difference evaluative.,17
1979-09-4-right-de-los-caf-s-cantantes-al-festiv,candil,Candil,1979-09,1979,es,article,head_tail_windows,COMM,COMM_02,medium,"las Peñas Flamencas pueden desarrollar... fomentan la reunión íntima, cabal de esos mismos profesionales",14,Peñas Flamencas,2,Peñas are positioned as community institutions able to sustain a more cabal and intimate form of flamenco practice.,18
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,es,article,head_tail_windows,CRIT,CRIT_01,medium,"conviven letras reaccionarias, obscenamente compuestas para halagar a un público... junto a otras nacidas en la calle... de decidido mal gusto",21,flamenco lyrics from the historical period,6,"The author explicitly evaluates different kinds of letras, condemning some as reactionary and obscene and others as politically motivated but aesthetically poor.",22
1979-09-5-right-para-una-sociolog-a-de-las-taran,candil,Candil,1979-09,1979,es,article,head_tail_windows,COMM,COMM_04,medium,también nace como desgarro y expresión de una situación socio-laboral... a partir de 1854 el proletariado andaluz irá tomando conciencia de clase,23,flamenco as expression of Andalusian socio-labor and class conditions,10,"The passage frames flamenco through class and regional social identity, linking cante to Andalusian labor conditions and proletarian consciousness.",19
1979-09-12-right-haciendo-memoria-antonio-mairena,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_01,high,"Antonio Mairena necesita más comentario. Su arte no se puede condensar en las líneas apresuradas de la crónica de un hecho. Hay que escuchar, saborear, pensar y luego escribir.",29,Antonio Mairena and his performance,5,The passage explicitly evaluates Mairena's art as deserving deeper critical attention beyond ordinary reportage.,15
1979-09-12-right-haciendo-memoria-antonio-mairena,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_03,medium,"Antonio Mairena, el número uno del actual momento del arte gitano-andaluz",12,Antonio Mairena,2,Calling Mairena the number one figure constructs a hierarchy within contemporary flamenco/gitano-andaluz art.,15
1979-09-13-right-quienes-fueron-los-maestros,candil,Candil,1979-09,1979,es,article,full,CRIT,CRIT_03,high,"una relación seleccionada de los que a nuestro juicio fueron grandes maestros del arte flamenco en sus tres vertientes, cante, toque y baile",23,selected historic flamenco masters,4,"The section explicitly constructs a selected canon of great flamenco masters across cante, toque, and baile.",16
