periodical_label,code,emit,possible,family,near_miss_ratio
Candil,COMM_03,49,71,COMM,0.5916666666666667
Candil,COMM_01,37,45,COMM,0.5487804878048781
Candil,PED_01,87,93,PED,0.5166666666666667
Candil,HERIT_03,187,182,HERIT,0.4932249322493225
Candil,HERIT_02,133,123,HERIT,0.48046875
Candil,COMM_02,243,211,COMM,0.4647577092511013
Candil,COMM_04,208,180,COMM,0.4639175257731959
Candil,AUTH_04,73,59,AUTH,0.44696969696969696
Candil,AUTH_01,195,151,AUTH,0.43641618497109824
Candil,PED_03,171,130,PED,0.4318936877076412
Candil,HERIT_01,80,50,HERIT,0.38461538461538464
Candil,PED_02,199,120,PED,0.3761755485893417
Candil,AUTH_03,435,262,AUTH,0.37589670014347204
Candil,AUTH_02,190,108,AUTH,0.3624161073825503
Candil,CRIT_02,470,142,CRIT,0.23202614379084968
Candil,CRIT_03,657,187,CRIT,0.22156398104265404
Candil,CRIT_04,565,120,CRIT,0.17518248175182483
Candil,CRIT_01,736,155,CRIT,0.1739618406285073
Jaleo,HERIT_03,30,73,HERIT,0.7087378640776699
Jaleo,HERIT_01,8,15,HERIT,0.6521739130434783
Jaleo,AUTH_04,44,74,AUTH,0.6271186440677966
Jaleo,COMM_04,111,153,COMM,0.5795454545454546
Jaleo,COMM_02,142,150,COMM,0.5136986301369864
Jaleo,AUTH_03,185,170,AUTH,0.4788732394366197
Jaleo,AUTH_02,74,67,AUTH,0.475177304964539
Jaleo,HERIT_02,39,35,HERIT,0.47297297297297297
Jaleo,AUTH_01,96,82,AUTH,0.4606741573033708
Jaleo,COMM_03,154,128,COMM,0.45390070921985815
Jaleo,PED_01,184,140,PED,0.43209876543209874
Jaleo,COMM_01,63,38,COMM,0.37623762376237624
Jaleo,PED_02,141,84,PED,0.37333333333333335
Jaleo,CRIT_04,153,75,CRIT,0.32894736842105265
Jaleo,PED_03,352,164,PED,0.3178294573643411
Jaleo,CRIT_03,336,135,CRIT,0.28662420382165604
Jaleo,CRIT_01,510,189,CRIT,0.2703862660944206
Jaleo,CRIT_02,327,117,CRIT,0.2635135135135135
